source_cluster_id,target_cluster_id,relation_type,description,source_trigger,source_summary,target_trigger,target_summary,confidence_score,explanation,evidence_type,source_trigger_arguments,target_trigger_arguments,source_trigger_time,target_trigger_time,source_agent,target_agent,source_location,target_location,source_lat,source_lon,target_lat,target_lon
17027,17011,causes,Order to defuse tensions responding to conflicts during resupply mission and talks.,flare-up with China,"Tensions have escalated between the Philippines and China in the South China Sea, with instances of violence reported over resupply missions.",ordered his armed forces to defuse tensions,Philippine President Ferdinand Marcos Jr ordered his military to reduce tensions in the South China Sea following issues with China.,,,,,"{'agent': 'President Ferdinand Marcos Jr', 'object': 'military operations', 'location': 'South China Sea', 'time': '2024-07-04', 'counterpart': 'China', 'impact_summary': 'Aiming to restore peace and manage maritime disputes amicably.', 'cause': 'Flare-up with China during resupply mission.'}",,2024-07-04,,President Ferdinand Marcos Jr,,South China Sea,,,15.0000001,114.9999999
17013,17012,causes,The meeting resulted in efforts to defuse tensions,meeting of Chinese and Filipino diplomats,Chinese and Filipino diplomats met in Manila to discuss restoring trust following a coastguard clash.,Filipino sailor injured,A confrontation involving a Filipino sailor losing a thumb during an altercation with Chinese coast guard showcases maritime dispute tensions.,,,,,,,,,,,,,,,
17292,17293,related_to,Both events are part of Hungary's efforts to influence EU politics.,announced the formation of a new EU parliamentary alliance,Hungary's Prime Minister Viktor Orban announced the formation of a new EU parliamentary alliance with Austria's far-right party and the Czech centrist group of ex-premier Andrej Babis.,Germany’s far-right Alternative for Germany announced it was officially withdrawing from the Identity and Democracy group,"Germany’s AfD announced its withdrawal from the Identity and Democracy parliamentary group, seeking new alliances in EU politics.",,,,,,,,,,,,,,,
18896,18895,causes,China responded to Ukraine's accusations.,accused Beijing,Ukrainian President Volodymyr Zelensky accused China of preventing countries from attending a peace summit for the Ukraine war.,denied accusations,China denied Ukrainian President Zelensky's accusations of pressing other nations to avoid the Ukraine peace summit to be hosted in Switzerland.,,,,,"{'agent': 'China', 'object': 'accusations', 'location': 'China', 'time': '2024-06-03', 'counterpart': 'Ukraine', 'impact_summary': ""This denial aims to maintain China's diplomatic stance amid rising tensions in the Ukraine conflict."", 'cause': 'Accusations by Ukrainian President Zelenskyy'}",,2024-06-03,,China,,China,,,35.0000663,104.999955
21529,21528,causes,Talks with opposition were a response to tensions with Nepali Congress.,criticised the Nepali Congress party,"The Maoist Centre party criticized the Nepali Congress for obstructing the Prime Minister's strategies, prompting changes in coalition dynamics.",in talks with two opposition parties,Nepal's Prime Minister Pushpa Kamal Dahal engaged in discussions with opposition parties UML and RSP to form a new coalition due to tensions with the Nepali Congress party.,,,,,"{'agent': 'Prime Minister Pushpa Kamal Dahal', 'object': 'new coalition', 'location': 'Nepal', 'time': '2024-03-04', 'counterpart': 'Communist Party of Nepal (UML) and the Rastriya Swotantra Party (RSP)', 'impact_summary': ""This political shift could stabilize or destabilize governance depending on the coalition's success."", 'cause': 'Policy differences with the Nepali Congress'}",,2024-03-04,,Prime Minister Pushpa Kamal Dahal,,Nepal,,,28.3780464,83.9999901
21535,21528,causes,Extended exercises influenced by increased military base access.,US-Philippines military exercises,Joint military exercises between the US and the Philippines have expanded to include air and sea patrols over the South China Sea and near Taiwan.,in talks with two opposition parties,Nepal's Prime Minister Pushpa Kamal Dahal engaged in discussions with opposition parties UML and RSP to form a new coalition due to tensions with the Nepali Congress party.,,,,,"{'agent': 'Prime Minister Pushpa Kamal Dahal', 'object': 'new coalition', 'location': 'Nepal', 'time': '2024-03-04', 'counterpart': 'Communist Party of Nepal (UML) and the Rastriya Swotantra Party (RSP)', 'impact_summary': ""This political shift could stabilize or destabilize governance depending on the coalition's success."", 'cause': 'Policy differences with the Nepali Congress'}",,2024-03-04,,Prime Minister Pushpa Kamal Dahal,,Nepal,,,28.3780464,83.9999901
21535,21529,causes,China's aggressive tactics as a reaction to expanded joint exercises.,US-Philippines military exercises,Joint military exercises between the US and the Philippines have expanded to include air and sea patrols over the South China Sea and near Taiwan.,criticised the Nepali Congress party,"The Maoist Centre party criticized the Nepali Congress for obstructing the Prime Minister's strategies, prompting changes in coalition dynamics.",,,,,,,,,,,,,,,
21870,272,related_to,China's actions are contextually related to US economic pressures.,stepped up its military and political pressure,"China intensifies its military and political pressure on Taiwan, viewing it as a part of sovereign Chinese territory.",threatened to slap a 60 per cent flat fee on Chinese goods,"President-elect Trump threatened to impose a substantial tariff on Chinese goods, prompting concerns about a potential second trade war with China.",,,,"{'agent': 'China', 'object': 'Taiwan', 'location': 'Taiwan Strait', 'time': '2025-02-03', 'counterpart': None, 'impact_summary': 'Increases regional tension and necessitates diplomatic efforts for peace.', 'cause': ""Lai's separatist stance and Taiwan's independence push""}",,2025-02-03,,China,,Taiwan Strait,,24.49173883966648,119.60540174291498,,
22582,22581,causes,Exercises conducted as a response to China's assertive military actions and regional tensions.,tensions between the US and China are high,"Tensions have escalated between the US and China, impacting their commercial relationship.",joint exercises,The US and Japanese navies conducted joint naval exercises in the Philippine Sea as a demonstration of force amid escalating tensions with China and North Korea.,,,,,"{'agent': 'US and Japanese navies', 'object': 'joint naval exercises', 'location': 'Philippine Sea', 'time': '2024-02-01', 'counterpart': 'China and North Korea', 'impact_summary': 'Showcasing military readiness and solidarity in the face of regional tensions.', 'cause': 'Rising tensions with China and North Korea.'}",,2024-02-01,,US and Japanese navies,,Philippine Sea,,,20.0,135.0
22603,22604,related_to,Chinese support measures for the property market were contextually related to the rise in oil prices.,China unveiled new support measures for its embattled property market,China introduced support measures for its weakened property market to mitigate economic issues surrounding major developer bankruptcies.,Houthi attacks on shipping in the Red Sea,"Houthi forces in Yemen are escalating attacks on shipping in the Red Sea, causing disruptions in global oil trading and increased shipping costs.",,,,,,,,,,,,,,,
24264,24263,causes,U.S. military assistance is a response to Chinese military activities,frequent military operations,"Chinese military operations around Taiwan present a serious threat, causing tension in the region.",$300 million sale,The U.S. State Department approved a $300 million sale of equipment to maintain Taiwan's tactical information systems.,,,,"{'agent': 'Chinese military', 'object': 'military operations', 'location': 'Taiwan Strait', 'time': 'Ongoing since four years', 'counterpart': None, 'impact_summary': 'Heightened military tension around Taiwan', 'cause': ""China's attempts to assert sovereignty claims""}","{'agent': 'U.S. State Department', 'object': 'equipment', 'location': 'United States', 'time': '2023-12-16', 'counterpart': 'Taiwan', 'impact_summary': ""It enhances Taiwan's defensive capabilities against potential threats."", 'cause': ""U.S. legal obligations to support Taiwan's defense""}",Ongoing since four years,2023-12-16,Chinese military,U.S. State Department,Taiwan Strait,United States,24.49173883966648,119.60540174291498,39.7837304,-100.445882
24316,32956,causes,Offering bounties led to responses from the UK and US,"HK$1,000,000 bounties","Hong Kong authorities offered bounties for the information leading to the capture of five overseas activists, framing the action as part of a national security effort.",rebukes from the United States and Britain,The United States and Britain condemned Hong Kong's decision to offer bounties for activists accused of national security crimes.,,,,,,,,,,,,,,,
21535,24334,causes,The move to enhance US ties is a response to worsening relations with China.,US-Philippines military exercises,Joint military exercises between the US and the Philippines have expanded to include air and sea patrols over the South China Sea and near Taiwan.,forging closer defence ties with the United States,"The Philippines has strengthened its military relationship with the US, nearly doubling American access to local bases.",,,,,,,,,,,,,,,
25319,27234,related_to,The joint patrols are contextually related to diplomatic discussions between the Philippines and China.,joint patrols,The Philippine and US naval forces conducted joint patrols in the South China Sea amid rising tensions over territorial disputes.,claims sovereignty over nearly all of the South China Sea,"China's sovereignty claims in the South China Sea are disputed by an international tribunal ruling, fueling regional tensions.",,,,"{'agent': 'US and Philippine naval forces', 'object': 'joint patrols', 'location': 'South China Sea near a natural gas field off Palawan province', 'time': '2023-11-23', 'counterpart': 'Chinese navy', 'impact_summary': 'The presence of joint patrols heightens military tension in contested waters, underlining geopolitical power dynamics.', 'cause': ""Increased US-Philippine military cooperation in response to China's territorial claims.""}",,2023-11-23,,US and Philippine naval forces,,South China Sea near a natural gas field off Palawan province,,,,,
